Fatalities,PedFatalit,BikeFatali,MVOFatalit,YR,nodeX,nodeY,STREET1,STREET2
1,1,0,0,2009,915919.8305,126895.615,WOOD AVENUE,ARTHUR KILL ROAD
1,0,0,1,2009,930599.3511,134005.0562,DRUMGOOLE ROAD EAST,HUGUENOT AVENUE
1,1,0,0,2009,930826.4733,131814.4369,LUTEN AVENUE,DEISIUS STREET
1,1,0,0,2009,939163.9809,156952.2468,RIVINGTON AVENUE,RICHMOND AVENUE
1,0,0,1,2009,940000.0015,167536.9629,BRUCKNER AVENUE,FOREST AVENUE
1,0,0,1,2009,942553.671,135211.2477,ARMSTRONG AVENUE,HYLAN BOULEVARD
1,0,0,1,2009,948368.9084,172050.0641,RICHMOND TERRACE,HEBERTON AVENUE
1,0,0,1,2009,949515.1265,167771.5753,MANOR ROAD,FOREST AVENUE
2,2,0,0,2009,951387.0647,148794.8685,3 STREET,NEW DORP LANE
1,0,0,1,2009,958445.7875,169247.3236,FOREST AVENUE,HAVEN ESPLANADE
1,1,0,0,2009,959708.1403,154515.5719,HYLAN BOULEVARD,BURGHER AVENUE
2,0,0,2,2009,960449.8153,170255.13,CEBRA AVENUE,VICTORY BOULEVARD
1,0,0,1,2009,960774.5423,165100.3109,LAUREL AVENUE,TARGEE STREET
1,0,0,1,2009,961348.6849,149178.8769,SLATER BOULEVARD,FR CAPODANNO BOULEVARD
1,0,0,1,2009,962464.867,157330.6057,KENSINGTON AVENUE,STEUBEN STREET
1,1,0,0,2009,962637.8227,150322.5065,SEAVIEW AVENUE,FR CAPODANNO BOULEVARD
1,0,0,1,2009,965090.5508,159481.8415,FINGERBOARD ROAD,NARROWS ROAD NORTH
1,0,0,1,2009,966714.1141,163561.6211,HYLAN BOULEVARD,EDGEWATER STREET
1,1,0,0,2009,976959.8574,168045.643,79 STREET,4 AVENUE
1,1,0,0,2009,980140.1037,197884.6341,ALBANY STREET,WEST STREET
1,1,0,0,2009,980901.5651,173693.758,53 STREET,5 AVENUE
1,1,0,0,2009,981568.2829,175822.8285,45 STREET,4 AVENUE
1,1,0,0,2009,982009.5944,211104.7255,11 AVENUE,WEST 19 STREET
1,1,0,0,2009,982539.9152,177046.0019,4 AVENUE,39 STREET
1,1,0,0,2009,983227.7005,211923.3944,10 AVENUE,WEST 24 STREET
1,1,0,0,2009,983550.612,208788.4571,8 AVENUE,WEST 14 STREET
1,1,0,0,2009,984439.0613,156648.7205,BELT PARKWAY WB BAY PARKWAY EN,SHORE PARKWAY
1,1,0,0,2009,984900.0381,171853.2991,FT HAMILTON PARKWAY,49 STREET
1,1,0,0,2009,984948.4172,166805.8095,64 STREET,NEW UTRECHT AVENUE
2,2,0,0,2009,984998.427,199212.2562,CATHERINE STREET,EAST BROADWAY
1,1,0,0,2009,985342.5733,200219.0389,BOWERY,MANHATTAN BR APPROACH
1,0,0,1,2009,985345.4243,159065.658,21 AVENUE,86 STREET
2,0,0,2,2009,985760.3021,220079.0117,12 AVENUE,JOE DIMAGGIO HIGHWAY
1,1,0,0,2009,986033.6185,215124.6912,9 AVENUE,WEST 40 STREET
1,1,0,0,2009,986118.2013,202449.8051,BOWERY,PRINCE STREET
1,1,0,0,2009,986329.7498,164003.2495,18 AVENUE,BAY RIDGE AVENUE
1,1,0,0,2009,986583.0695,158084.1343,86 STREET,23 AVENUE
1,1,0,0,2009,986819.2435,214689.948,8 AVENUE,WEST 40 STREET
1,1,0,0,2009,986828.84,148294.4102,SURF AVENUE,WEST 24 STREET
1,1,0,0,2009,987466.2501,215860.9102,8 AVENUE,WEST 45 STREET
1,1,0,0,2009,987498.4548,169459.7871,50 STREET,15 AVENUE
1,1,0,0,2009,987691.3547,218119.803,9 AVENUE,WEST 53 STREET
1,0,0,1,2009,987841.0952,203483.5599,1 AVENUE,EAST 4 STREET
1,1,0,0,2009,987857.6306,171169.4031,14 AVENUE,44 STREET
1,1,0,0,2009,987931.0261,200117.5037,GRAND STREET,CLINTON STREET
1,1,0,0,2009,988386.3762,173383.421,36 STREET,CLARA STREET
1,1,0,0,2009,988911.9588,212647.0121,WEST 37 STREET,EAST 37 STREET
